ぜんこくNo.,名前,フォルム,英語名,タイプ1,タイプ2,HP,攻撃,防御,特攻,特防,素早さ,特性1,特性2,夢特性
1,フシギダネ,,Bulbasaur,くさ,どく,45,49,49,65,65,45,しんりょく,,*ようりょくそ
2,フシギソウ,,Ivysaur,くさ,どく,60,62,63,80,80,60,しんりょく,,*ようりょくそ
3,フシギバナ,,Venusaur,くさ,どく,80,82,83,100,100,80,しんりょく,,*ようりょくそ
4,ヒトカゲ,,Charmander,ほのお,,39,52,43,60,50,65,もうか,,*サンパワー
5,リザード,,Charmeleon,ほのお,,58,64,58,80,65,80,もうか,,*サンパワー
6,リザードン,,Charizard,ほのお,ひこう,78,84,78,109,85,100,もうか,,*サンパワー
7,ゼニガメ,,Squirtle,みず,,44,48,65,50,64,43,げきりゅう,,*あめうけざら
8,カメール,,Wartortle,みず,,59,63,80,65,80,58,げきりゅう,,*あめうけざら
9,カメックス,,Blastoise,みず,,79,83,100,85,105,78,げきりゅう,,*あめうけざら
10,キャタピー,,Caterpie,むし,,45,30,35,20,20,45,りんぷん,,*にげあし
11,トランセル,,Metapod,むし,,50,20,55,25,25,30,だっぴ,,
12,バタフリー,,Butterfree,むし,ひこう,60,45,50,90,80,70,ふくがん,,*いろめがね
13,ビードル,,Weedle,むし,どく,40,35,30,20,20,50,りんぷん,,*にげあし
14,コクーン,,Kakuna,むし,どく,45,25,50,25,25,35,だっぴ,,
15,スピアー,,Beedrill,むし,どく,65,90,40,45,80,75,むしのしらせ,,*スナイパー
16,ポッポ,,Pidgey,ノーマル,ひこう,40,45,40,35,35,56,するどいめ,ちどりあし,*はとむね
17,ピジョン,,Pidgeotto,ノーマル,ひこう,63,60,55,50,50,71,するどいめ,ちどりあし,*はとむね
18,ピジョット,,Pidgeot,ノーマル,ひこう,83,80,75,70,70,101,するどいめ,ちどりあし,*はとむね
19,コラッタ,通常,Rattata,ノーマル,,30,56,35,25,35,72,にげあし,こんじょう,*はりきり
19,コラッタ,アローラのすがた,Rattata,あく,ノーマル,30,56,35,25,35,72,くいしんぼう,はりきり,*あついしぼう
20,ラッタ,通常,Raticate,ノーマル,,55,81,60,50,70,97,にげあし,こんじょう,*はりきり
20,ラッタ,アローラのすがた,Raticate,あく,ノーマル,75,71,70,40,80,77,くいしんぼう,はりきり,*あついしぼう
21,オニスズメ,,Spearow,ノーマル,ひこう,40,60,30,31,31,70,するどいめ,,*スナイパー
22,オニドリル,,Fearow,ノーマル,ひこう,65,90,65,61,61,100,するどいめ,,*スナイパー
23,アーボ,,Ekans,どく,,35,60,44,40,54,55,いかく,だっぴ,*きんちょうかん
24,アーボック,,Arbok,どく,,60,95,69,65,79,80,いかく,だっぴ,*きんちょうかん
25,ピカチュウ,,Pikachu,でんき,,35,55,40,50,50,90,せいでんき,,*ひらいしん
26,ライチュウ,通常,Raichu,でんき,,60,90,55,90,80,110,せいでんき,,*ひらいしん
26,ライチュウ,アローラのすがた,Raichu,でんき,エスパー,60,85,50,95,85,110,サーフテール,,
27,サンド,通常,Sandshrew,じめん,,50,75,85,20,30,40,すながくれ,,*すなかき
27,サンド,アローラのすがた,Sandshrew,こおり,はがね,50,75,90,10,35,40,ゆきがくれ,,*ゆきかき
28,サンドパン,通常,Sandslash,じめん,,75,100,110,45,55,65,すながくれ,,*すなかき
28,サンドパン,アローラのすがた,Sandslash,こおり,はがね,75,100,120,25,65,65,ゆきがくれ,,*ゆきかき
29,ニドラン♀,,Nidoran♀,どく,,55,47,52,40,40,41,どくのトゲ,とうそうしん,*はりきり
30,ニドリーナ,,Nidorina,どく,,70,62,67,55,55,56,どくのトゲ,とうそうしん,*はりきり
31,ニドクイン,,Nidoqueen,どく,じめん,90,92,87,75,85,76,どくのトゲ,とうそうしん,*ちからずく
32,ニドラン♂,,Nidoran♂,どく,,46,57,40,40,40,50,どくのトゲ,とうそうしん,*はりきり
33,ニドリーノ,,Nidorino,どく,,61,72,57,55,55,65,どくのトゲ,とうそうしん,*はりきり
34,ニドキング,,Nidoking,どく,じめん,81,102,77,85,75,85,どくのトゲ,とうそうしん,*ちからずく
35,ピッピ,,Clefairy,フェアリー,,70,45,48,60,65,35,メロメロボディ,マジックガード,*フレンドガード
36,ピクシー,,Clefable,フェアリー,,95,70,73,95,90,60,メロメロボディ,マジックガード,*てんねん
37,ロコン,アローラのすがた,Vulpix,こおり,,38,41,40,50,65,65,ゆきがくれ,,*ゆきふらし
37,ロコン,通常,Vulpix,ほのお,,38,41,40,50,65,65,もらいび,,*ひでり
38,キュウコン,アローラのすがた,Ninetales,こおり,フェアリー,73,67,75,81,100,109,ゆきがくれ,,*ゆきふらし
38,キュウコン,通常,Ninetales,ほのお,,73,76,75,81,100,100,もらいび,,*ひでり
39,プリン,,Jigglypuff,ノーマル,フェアリー,115,45,20,45,25,20,メロメロボディ,かちき,*フレンドガード
40,プクリン,,Wigglytuff,ノーマル,フェアリー,140,70,45,85,50,45,メロメロボディ,かちき,*おみとおし
41,ズバット,,Zubat,どく,ひこう,40,45,35,30,40,55,せいしんりょく,,*すりぬけ
42,ゴルバット,,Golbat,どく,ひこう,75,80,70,65,75,90,せいしんりょく,,*すりぬけ
43,ナゾノクサ,,Oddish,くさ,どく,45,50,55,75,65,30,ようりょくそ,,*にげあし
44,クサイハナ,,Gloom,くさ,どく,60,65,70,85,75,40,ようりょくそ,,*あくしゅう
45,ラフレシア,,Vileplume,くさ,どく,75,80,85,110,90,50,ようりょくそ,,*ほうし
46,パラス,,Paras,むし,くさ,35,70,55,45,55,25,ほうし,かんそうはだ,*しめりけ
47,パラセクト,,Parasect,むし,くさ,60,95,80,60,80,30,ほうし,かんそうはだ,*しめりけ
48,コンパン,,Venonat,むし,どく,60,55,50,40,55,45,ふくがん,いろめがね,*にげあし
49,モルフォン,,Venomoth,むし,どく,70,65,60,90,75,90,りんぷん,いろめがね,*ミラクルスキン
50,ディグダ,通常,Diglett,じめん,,10,55,25,35,45,95,すながくれ,ありじごく,*すなのちから
50,ディグダ,アローラのすがた,Diglett,じめん,はがね,10,55,30,35,45,90,すながくれ,カーリーヘアー,*すなのちから
51,ダグトリオ,通常,Dugtrio,じめん,,35,100,50,50,70,120,すながくれ,ありじごく,*すなのちから
51,ダグトリオ,アローラのすがた,Dugtrio,じめん,はがね,35,100,60,50,70,110,すながくれ,カーリーヘアー,*すなのちから
52,ニャース,ガラルのすがた,Meowth,はがね,,50,65,55,40,40,40,ものひろい,かたいツメ,*きんちょうかん
52,ニャース,通常,Meowth,ノーマル,,40,45,35,40,40,90,ものひろい,テクニシャン,*きんちょうかん
52,ニャース,アローラのすがた,Meowth,あく,,40,35,35,50,40,90,ものひろい,テクニシャン,*びびり
53,ペルシアン,通常,Persian,ノーマル,,65,70,60,65,65,115,じゅうなん,テクニシャン,*きんちょうかん
53,ペルシアン,アローラのすがた,Persian,あく,,65,60,60,75,65,115,ファーコート,テクニシャン,*びびり
54,コダック,,Psyduck,みず,,50,52,48,65,50,55,しめりけ,ノーてんき,*すいすい
55,ゴルダック,,Golduck,みず,,80,82,78,95,80,85,しめりけ,ノーてんき,*すいすい
56,マンキー,,Mankey,かくとう,,40,80,35,35,45,70,やるき,いかりのつぼ,*まけんき
57,オコリザル,,Primeape,かくとう,,65,105,60,60,70,95,やるき,いかりのつぼ,*まけんき
58,ガーディ,,Growlithe,ほのお,,55,70,45,70,50,60,いかく,もらいび,*せいぎのこころ
59,ウインディ,,Arcanine,ほのお,,90,110,80,100,80,95,いかく,もらいび,*せいぎのこころ
60,ニョロモ,,Poliwag,みず,,40,50,40,40,40,90,ちょすい,しめりけ,*すいすい
61,ニョロゾ,,Poliwhirl,みず,,65,65,65,50,50,90,ちょすい,しめりけ,*すいすい
62,ニョロボン,,Poliwrath,みず,かくとう,90,95,95,70,90,70,ちょすい,しめりけ,*すいすい
63,ケーシィ,,Abra,エスパー,,25,20,15,105,55,90,シンクロ,せいしんりょく,*マジックガード
64,ユンゲラー,,Kadabra,エスパー,,40,35,30,120,70,105,シンクロ,せいしんりょく,*マジックガード
65,フーディン,,Alakazam,エスパー,,55,50,45,135,95,120,シンクロ,せいしんりょく,*マジックガード
66,ワンリキー,,Machop,かくとう,,70,80,50,35,35,35,こんじょう,ノーガード,*ふくつのこころ
67,ゴーリキー,,Machoke,かくとう,,80,100,70,50,60,45,こんじょう,ノーガード,*ふくつのこころ
68,カイリキー,,Machamp,かくとう,,90,130,80,65,85,55,こんじょう,ノーガード,*ふくつのこころ
69,マダツボミ,,Bellsprout,くさ,どく,50,75,35,70,30,40,ようりょくそ,,*くいしんぼう
70,ウツドン,,Weepinbell,くさ,どく,65,90,50,85,45,55,ようりょくそ,,*くいしんぼう
71,ウツボット,,Victreebel,くさ,どく,80,105,65,100,70,70,ようりょくそ,,*くいしんぼう
72,メノクラゲ,,Tentacool,みず,どく,40,40,35,50,100,70,クリアボディ,ヘドロえき,*あめうけざら
73,ドククラゲ,,Tentacruel,みず,どく,80,70,65,80,120,100,クリアボディ,ヘドロえき,*あめうけざら
